Date,Open,High,Low,Close,Adj Close,Volume
2021-11-09,202.820007,203.630005,201.229996,202.880005,199.531891,666900
2021-11-10,203.080002,203.750000,201.100006,201.330002,198.007446,625200
2021-11-11,200.770004,201.449997,198.809998,199.089996,195.804413,904600
2021-11-12,199.089996,201.449997,198.520004,200.970001,197.653397,944100
2021-11-15,202.039993,202.039993,200.149994,201.070007,197.751755,679900
2021-11-16,200.910004,201.690002,198.690002,198.740005,195.460220,860100
2021-11-17,198.669998,200.100006,198.669998,199.460007,196.168335,617600
2021-11-18,199.740005,199.740005,196.820007,198.000000,194.732407,750000
2021-11-19,197.800003,198.380005,196.050003,196.309998,193.070297,792100
2021-11-22,197.210007,200.570007,196.619995,199.360001,196.069962,689500
2021-11-23,199.899994,201.729996,199.490005,200.289993,196.984619,604400
2021-11-24,200.070007,200.639999,198.059998,198.740005,195.460220,524200
2021-11-26,194.199997,194.550003,190.800003,193.369995,190.178818,847300
2021-11-29,195.000000,195.800003,193.130005,194.440002,191.231171,878600
2021-11-30,192.490005,193.720001,188.639999,188.970001,185.851440,2083900
2021-12-01,192.000000,194.509995,189.429993,189.449997,186.323502,1320400
2021-12-02,191.440002,196.779999,190.320007,194.479996,191.270493,1246500
2021-12-03,194.710007,198.059998,194.559998,197.630005,194.368530,1424200
2021-12-06,200.070007,201.899994,198.690002,199.570007,196.276505,820500
2021-12-07,200.000000,201.190002,198.970001,199.320007,196.030640,880200
2021-12-08,199.850006,202.750000,199.850006,200.880005,197.564896,781100
2021-12-09,200.000000,202.139999,198.679993,201.929993,198.597549,938000
2021-12-10,203.169998,205.850006,201.500000,204.929993,201.548050,1038000
2021-12-13,202.880005,205.020004,202.009995,203.490005,200.131821,1017200
2021-12-14,204.710007,206.559998,202.300003,203.470001,200.112137,1160300
2021-12-15,203.990005,206.350006,203.350006,206.240005,202.836426,781200
2021-12-16,206.660004,209.080002,205.919998,206.179993,202.777405,1030100
2021-12-17,206.050003,206.350006,202.190002,202.199997,198.863098,2703100
2021-12-20,201.000000,201.399994,197.029999,198.679993,195.401184,969100
2021-12-21,199.899994,204.259995,199.600006,203.289993,199.935104,1251800
2021-12-22,203.429993,204.889999,203.270004,203.759995,200.397354,608500
2021-12-23,204.839996,205.850006,203.779999,204.690002,201.312012,665800
2021-12-27,205.070007,207.210007,204.539993,207.130005,203.711731,849200
2021-12-28,206.500000,208.869995,206.500000,207.669998,204.242828,899400
2021-12-29,207.770004,208.559998,206.130005,207.889999,204.459198,715700
2021-12-30,207.699997,209.350006,207.179993,207.539993,204.114975,718600
2021-12-31,207.320007,209.470001,206.330002,208.470001,205.029633,868400
2022-01-03,209.000000,209.550003,206.139999,207.460007,204.036301,721500
2022-01-04,209.070007,212.460007,208.210007,212.050003,208.550537,1129400
2022-01-05,212.770004,214.429993,210.029999,210.309998,206.839264,876500
2022-01-06,212.529999,214.039993,210.130005,211.740005,208.245651,864100
2022-01-07,212.570007,213.869995,211.669998,212.089996,208.589874,1408500
2022-01-10,212.600006,214.699997,209.500000,210.610001,207.134323,1235300
2022-01-11,210.610001,211.759995,209.429993,211.580002,208.088303,1021700
2022-01-12,212.000000,212.699997,210.630005,211.929993,208.432526,968700
2022-01-13,211.410004,213.119995,210.399994,211.369995,209.055634,766500
2022-01-14,210.460007,213.619995,209.520004,213.100006,210.766693,1111000
2022-01-18,212.130005,212.500000,208.970001,211.160004,208.847931,1104800
2022-01-19,211.130005,213.440002,210.360001,210.360001,208.056686,826800
2022-01-20,210.470001,212.960007,208.479996,208.979996,206.691803,933100
2022-01-21,209.259995,210.899994,206.320007,206.539993,204.278503,1237200
2022-01-24,204.440002,207.559998,200.649994,207.080002,204.812607,1464200
2022-01-25,205.000000,206.839996,200.940002,205.960007,203.704865,1765900
2022-01-26,204.169998,210.149994,200.789993,204.919998,202.676239,1988400
2022-01-27,205.080002,211.630005,205.080002,208.800003,206.513763,2402800
2022-01-28,209.839996,213.000000,206.240005,212.820007,210.489746,1500400
2022-01-31,210.460007,212.619995,208.380005,212.100006,209.777649,1566400
2022-02-01,212.190002,213.610001,209.750000,212.869995,210.539200,1371700
2022-02-02,212.300003,214.449997,210.600006,214.080002,211.735947,1888600
2022-02-03,207.839996,213.250000,207.839996,212.169998,209.846863,1380700
2022-02-04,213.509995,216.210007,210.779999,212.289993,209.965546,1462300
2022-02-07,213.279999,213.929993,211.589996,212.119995,209.797409,1045400
2022-02-08,213.360001,215.070007,211.880005,214.460007,212.111801,1064500
2022-02-09,215.720001,216.169998,214.500000,215.440002,213.081070,1037700
2022-02-10,213.750000,215.789993,210.309998,211.520004,209.203979,1102200
2022-02-11,211.639999,214.940002,210.860001,213.759995,211.419449,1206200
2022-02-14,213.750000,214.639999,210.029999,211.169998,208.857819,1227500
2022-02-15,211.979996,214.169998,211.000000,212.770004,210.440292,690100
2022-02-16,212.679993,215.320007,212.520004,214.410004,212.062347,814100
2022-02-17,213.729996,215.550003,212.240005,214.399994,212.052429,1014300
2022-02-18,213.830002,218.600006,213.830002,215.820007,213.456909,1609000
2022-02-22,220.000000,220.100006,215.130005,216.820007,214.445953,2170000
2022-02-23,218.059998,218.880005,215.809998,216.270004,213.901978,1744300
2022-02-24,216.789993,218.940002,211.410004,218.529999,216.137222,2062700
2022-02-25,218.559998,228.199997,218.559998,227.979996,225.483749,1979400
2022-02-28,229.589996,234.990005,229.139999,234.449997,231.882904,3284600
2022-03-01,235.000000,237.029999,232.100006,233.320007,230.765305,2082500
2022-03-02,235.000000,236.639999,229.160004,235.750000,233.168686,2780300
2022-03-03,236.779999,239.759995,236.169998,238.130005,235.522614,1875300
2022-03-04,236.100006,245.559998,235.059998,245.289993,242.604218,3300500
2022-03-07,245.509995,254.990005,245.479996,247.289993,244.582321,4791800
2022-03-08,247.380005,247.860001,235.250000,235.309998,232.733490,2769800
2022-03-09,234.979996,238.419998,231.619995,236.809998,234.217056,2425400
2022-03-10,235.990005,238.809998,234.339996,235.520004,232.941193,1576800
2022-03-11,235.800003,238.949997,232.380005,232.479996,229.934479,1804900
2022-03-14,234.350006,235.600006,230.470001,233.830002,231.269714,1379600
2022-03-15,235.449997,238.410004,233.419998,237.619995,235.018188,1145800
2022-03-16,234.440002,236.369995,224.380005,227.690002,225.196930,2457600
2022-03-17,230.440002,232.419998,227.750000,230.509995,227.986053,1712500
2022-03-18,230.630005,231.119995,228.589996,230.229996,227.709106,2605200
2022-03-21,231.000000,238.490005,230.990005,236.070007,233.485184,1566400
2022-03-22,236.149994,237.880005,234.100006,237.830002,235.225906,1157800
2022-03-23,238.699997,241.660004,238.229996,239.690002,237.065536,1370400
2022-03-24,240.000000,243.360001,239.139999,241.000000,238.361206,1179400
2022-03-25,240.830002,244.440002,240.360001,244.360001,241.684402,1127200
2022-03-28,242.520004,243.059998,239.479996,240.889999,238.252396,1247100
2022-03-29,237.330002,241.190002,234.130005,241.089996,238.450211,1643500
2022-03-30,242.000000,245.630005,242.000000,244.320007,241.644836,1377800
2022-03-31,242.139999,245.570007,241.149994,241.179993,238.539215,1316100
2022-04-01,241.169998,243.240005,239.210007,242.509995,239.854660,1004800
2022-04-04,242.490005,242.509995,236.960007,239.229996,236.610565,1158500
2022-04-05,238.610001,242.679993,238.610001,239.149994,236.531433,1207300
2022-04-06,239.029999,242.050003,238.750000,240.759995,238.123810,1399800
2022-04-07,239.399994,244.729996,237.839996,243.610001,242.210205,1266200
2022-04-08,244.919998,246.130005,241.600006,242.039993,240.649216,1081400
2022-04-11,244.309998,246.910004,241.750000,243.550003,242.150543,1390400
2022-04-12,243.309998,246.020004,242.100006,243.820007,242.419006,754600
2022-04-13,244.960007,246.649994,242.539993,243.710007,242.309631,751500
2022-04-14,244.800003,245.970001,243.000000,243.740005,242.339462,957500
2022-04-18,243.419998,248.729996,243.300003,243.860001,242.458771,1022400
2022-04-19,244.089996,247.139999,243.080002,246.589996,245.173080,1182700
2022-04-20,247.300003,249.690002,246.080002,247.690002,246.266754,862400
2022-04-21,248.000000,248.250000,241.770004,242.059998,240.669098,1265000
2022-04-22,241.160004,242.429993,238.550003,238.789993,237.417892,1076400
2022-04-25,239.020004,239.770004,234.850006,239.179993,237.805649,1525100
2022-04-26,238.630005,241.619995,236.929993,236.929993,235.568573,1297000
2022-04-27,237.660004,247.000000,237.110001,239.979996,238.601059,2282000
2022-04-28,242.429993,243.279999,239.350006,241.199997,239.814041,1443600
2022-04-29,241.000000,242.000000,235.990005,236.529999,235.170883,1839600
2022-05-02,236.529999,238.559998,230.429993,233.250000,231.909729,1776700
2022-05-03,234.589996,236.699997,232.389999,233.380005,232.038986,1829800
2022-05-04,233.990005,243.360001,232.110001,242.919998,241.524170,1914600
2022-05-05,242.460007,244.149994,238.000000,239.240005,237.865311,2174300
2022-05-06,238.399994,240.919998,236.000000,239.600006,238.223251,1329700
2022-05-09,237.979996,238.289993,228.470001,229.369995,228.052017,1915600
